11.47;13.47;7.79;12.27;11.51;10.82;10.97;7.64;9.96;10.44
8.14;7.66;8.02;10.00;11.06;10.35;10.97;10.90;9.98;10.31
8.67;7.24;12.46;10.18;8.11;11.10;7.86;11.88;7.81;9.26
9.44;11.47;13.66;11.21;11.12;8.91;9.57;11.56;9.11;11.88
12.17;8.33;9.09;9.08;11.31;9.34;9.63;9.56;9.92;9.13
7.24;11.96;11.41;9.68;8.65;12.40;7.65;8.50;12.09;7.89
9.27;7.68;9.39;8.01;8.27;6.89;9.59;10.86;8.94;11.91
13.20;8.68;9.39;9.74;11.08;10.91;9.03;12.14;10.17;8.23
10.55;11.91;6.48;7.19;11.86;12.95;10.62;9.58;10.21;10.92
10.03;9.90;12.54;12.94;10.67;10.40;10.74;10.03;9.69;11.18 
